review_id,trip_id,reviewer_id,reviewee_id,rating,comment,reviewed_at
1,1,1958,1001,4,Very comfortable ride.,2024-06-24 14:52:11
2,1,1001,1958,4,Super friendly and helpful.,2024-06-24 16:09:11
3,3,324,373,4,Very clean car.,2023-08-17 11:08:06
4,4,373,5,4,,2022-11-21 11:30:31
5,5,680,1356,3,,2022-01-15 15:25:56
6,10,680,690,4,,2022-06-13 11:02:29
7,13,553,680,3,"Great driver, very professional!",2023-06-27 01:25:43
8,14,680,1649,3,Fine driver.,2024-03-17 22:45:46
9,18,1970,833,5,Fast and safe driver.,2022-08-11 08:39:45
10,20,1970,1301,4,,2023-09-01 16:57:27
11,20,1301,1970,4,,2023-09-01 15:36:27
12,23,1970,1623,3,,2023-04-16 05:10:04
13,24,1970,1956,3,,2023-09-09 16:40:07
14,25,1970,1606,3,,2023-05-22 12:58:26
15,25,1606,1970,2,Super friendly and helpful.,2023-05-22 12:59:26
16,26,1443,1970,3,Super friendly and helpful.,2024-05-29 05:10:02
17,27,1970,199,4,,2024-05-31 11:25:24
18,27,199,1970,3,Super friendly and helpful.,2024-05-31 12:45:24
19,30,1970,1437,3,,2024-01-30 20:27:32
20,32,1970,811,4,,2023-11-26 22:07:02
21,33,1970,1562,4,,2024-04-23 07:41:24
22,35,1970,334,3,Nothing to complain about.,2022-12-22 23:24:45
23,36,748,1970,3,Super friendly and helpful.,2023-12-17 02:44:16
24,38,1970,1210,4,"Great rider, very polite.",2022-12-19 10:30:01
25,40,1970,164,4,Fast and safe driver.,2022-11-24 21:42:11
26,41,1970,1135,3,Nothing to complain about.,2023-12-15 22:06:40
27,43,1970,1492,3,Trip was okay.,2023-11-30 08:43:30
28,43,1492,1970,3,Very clean car.,2023-11-30 10:10:30
29,44,1970,162,5,Car was spotless.,2023-06-17 06:56:47
30,46,1970,1590,3,,2024-04-09 13:08:41
31,48,1970,728,4,"Great rider, very polite.",2023-09-23 00:44:25
32,49,1970,1380,4,,2022-12-25 18:26:10
33,50,1970,1548,4,,2022-08-19 10:13:27
34,51,677,1970,4,Super friendly and helpful.,2024-02-03 07:37:07
35,53,1302,1970,3,"Smooth ride, on time.",2023-10-11 06:36:32
36,54,1970,1830,3,Trip was okay.,2022-01-31 22:08:45
37,55,619,898,4,,2022-08-11 15:02:47
38,56,436,619,5,Super friendly and helpful.,2023-12-03 14:30:41
39,57,619,1651,4,,2023-01-22 05:26:40
40,59,619,1023,4,,2022-10-12 16:00:43
41,61,619,1196,4,,2023-04-27 23:18:10
42,62,619,1955,5,,2023-08-05 13:01:16
43,64,619,1623,3,,2023-02-19 10:32:25
44,66,1617,1653,3,Fine driver.,2024-01-26 13:09:14
45,68,1617,485,4,,2023-06-02 14:48:32
46,68,485,1617,3,"Smooth ride, on time.",2023-06-02 17:22:32
47,69,1617,1206,4,Car was spotless.,2024-03-11 00:21:21
48,69,1206,1617,4,"Great driver, very professional!",2024-03-10 22:39:21
49,70,1617,1041,2,,2022-04-26 16:57:52
50,70,1041,1617,3,"Smooth ride, on time.",2022-04-26 16:28:52
51,71,1617,44,5,"5 stars, highly recommend!",2023-11-09 01:56:17
52,72,1617,1702,4,Very courteous driver.,2023-10-15 13:50:17
53,73,1617,97,4,Super friendly and helpful.,2022-02-28 23:55:50
54,73,97,1617,4,Very clean car.,2022-03-01 00:44:50
55,74,1617,868,4,,2024-03-08 16:15:20
56,76,1693,1617,3,Very clean car.,2022-03-13 02:30:54
57,78,1617,1371,4,,2023-03-28 04:37:04
58,79,1617,1131,3,,2022-12-11 19:54:48
59,80,1617,1141,4,,2023-03-18 07:44:39
60,81,1617,585,4,,2024-03-11 05:20:01
61,81,585,1617,4,"Excellent service, will ride again.",2024-03-11 05:46:01
62,82,1817,327,4,Very comfortable ride.,2023-11-01 19:00:45
63,84,1817,510,4,,2023-05-30 15:36:58
64,84,510,1817,3,"Great driver, very professional!",2023-05-30 16:53:58
65,86,475,1091,4,Very comfortable ride.,2022-08-12 03:18:01
66,86,1091,475,4,Very clean car.,2022-08-12 02:05:01
67,87,475,1776,3,,2023-04-05 14:03:12
68,90,679,318,4,,2023-05-02 01:33:21
69,90,318,679,2,"Excellent service, will ride again.",2023-05-02 02:46:21
70,92,679,1011,4,Super friendly and helpful.,2022-06-05 02:34:20
71,93,679,5,3,,2022-07-17 22:52:14
72,95,1127,2,5,,2022-01-19 15:07:44
73,95,2,1127,4,"Excellent service, will ride again.",2022-01-19 15:10:44
74,98,1437,1500,4,,2022-08-20 18:44:25
75,100,1500,515,4,"5 stars, highly recommend!",2022-07-09 05:35:15
76,101,327,1500,3,"Smooth ride, on time.",2022-05-24 19:49:17
77,104,5,1500,4,Very clean car.,2023-06-16 00:21:07
78,105,1500,542,3,Nothing to complain about.,2022-03-01 23:00:14
79,106,448,1500,4,Super friendly and helpful.,2023-12-14 17:42:01
80,107,1500,1987,4,"Great driver, very professional!",2022-08-25 22:00:05
81,107,1987,1500,3,"Great driver, very professional!",2022-08-25 21:18:05
82,110,1500,458,3,,2023-08-22 14:54:08
83,111,212,1497,4,"5 stars, highly recommend!",2023-06-25 04:37:34
84,112,421,40,3,Acceptable ride.,2023-09-23 20:38:23
85,112,40,421,3,"Smooth ride, on time.",2023-09-23 20:42:23
86,113,421,24,4,"Great driver, very professional!",2022-04-06 11:11:56
87,113,24,421,4,"Excellent service, will ride again.",2022-04-06 12:47:56
88,114,421,235,4,"Perfect trip, no issues.",2023-02-27 00:40:19
89,115,421,97,4,Car was spotless.,2023-12-29 21:33:45
90,116,421,1081,4,,2023-11-22 00:54:26
91,117,421,1975,3,Decent experience.,2022-02-06 18:46:35
92,117,1975,421,4,"Excellent service, will ride again.",2022-02-06 17:33:35
93,118,421,997,4,"Quick and efficient, thanks!",2023-11-27 15:00:59
94,119,421,1993,3,,2022-12-22 13:42:18
95,120,421,947,4,,2024-06-28 21:51:58
96,120,947,421,4,"Smooth ride, on time.",2024-06-28 22:34:58
97,121,421,1795,4,Very courteous driver.,2024-01-13 02:15:30
98,122,421,146,4,,2024-02-27 00:20:41
99,124,421,389,4,,2024-06-14 15:55:12
100,127,421,319,3,,2024-04-11 08:59:28
101,128,421,1162,5,Very comfortable ride.,2022-01-08 16:33:53
102,128,1162,421,3,Very clean car.,2022-01-08 15:09:53
103,130,421,97,4,Super friendly and helpful.,2022-03-25 06:50:08
104,131,421,542,4,,2023-05-23 14:36:07
105,132,421,1584,5,,2024-03-09 23:30:33
106,134,142,421,3,Super friendly and helpful.,2024-01-13 17:35:25
107,136,421,1293,2,,2022-08-06 02:31:02
108,139,421,104,3,Got there safely.,2022-08-17 22:16:19
109,139,104,421,3,,2022-08-18 00:12:19
110,140,421,1492,4,,2024-04-09 02:04:56
111,140,1492,421,3,"Excellent service, will ride again.",2024-04-09 02:21:56
112,141,1409,515,4,,2023-12-18 08:01:53
113,142,551,1237,5,Fast and safe driver.,2023-02-04 16:37:36
114,143,551,995,4,"Great driver, very professional!",2024-02-28 01:49:06
115,144,1590,551,2,"Smooth ride, on time.",2024-03-18 10:21:32
116,147,551,1825,4,Very comfortable ride.,2023-09-09 12:09:17
117,148,551,1248,5,"Easy pickup, no problems.",2023-05-12 09:40:19
118,149,551,1210,4,,2023-07-12 18:48:05
119,150,551,120,4,"5 stars, highly recommend!",2022-05-13 14:06:47
120,150,120,551,3,Super friendly and helpful.,2022-05-13 15:17:47
121,151,551,494,4,,2023-07-06 18:39:57
122,152,551,1100,5,,2022-11-20 03:48:20
123,152,1100,551,3,"Great driver, very professional!",2022-11-20 04:36:20
124,153,551,1984,3,Got there safely.,2022-09-16 02:04:47
125,153,1984,551,4,"Excellent service, will ride again.",2022-09-16 04:10:47
126,155,455,1830,4,,2023-06-27 02:32:58
127,156,455,1956,4,Very clean car.,2024-01-01 04:17:22
128,157,907,995,3,Average experience.,2022-09-01 22:19:46
129,159,907,488,4,,2022-03-16 01:52:34
130,160,907,66,4,,2022-01-05 09:37:29
131,161,907,1302,5,Fast and safe driver.,2022-08-08 22:45:37
132,163,207,907,3,"Smooth ride, on time.",2022-01-30 09:16:51
133,167,65,907,4,Very clean car.,2022-09-10 19:03:00
134,168,907,434,4,Loved the music selection!,2023-01-01 03:14:09
135,168,434,907,4,"Excellent service, will ride again.",2023-01-01 03:34:09
136,169,907,1555,3,Decent experience.,2023-07-20 17:57:24
137,174,309,778,3,Got there safely.,2023-09-24 22:34:16
138,176,309,612,4,"Great rider, very polite.",2022-01-01 22:10:56
139,176,612,309,2,,2022-01-01 23:33:56
140,177,309,1310,3,,2022-09-18 20:28:16
141,177,1310,309,4,"Excellent service, will ride again.",2022-09-18 21:16:16
142,179,309,1775,5,"Perfect trip, no issues.",2024-02-10 08:38:54
143,180,309,1889,4,,2022-07-16 19:17:54
144,182,309,467,4,Super friendly and helpful.,2024-03-07 05:30:08
145,183,309,677,3,Trip was okay.,2024-06-02 04:20:19
146,184,309,2,4,Super friendly and helpful.,2023-12-20 14:44:34
147,184,2,309,4,"Great driver, very professional!",2023-12-20 15:30:34
148,185,309,448,5,Loved the music selection!,2023-10-24 20:57:34
149,189,1056,1248,2,,2023-04-26 17:24:15
150,194,1056,351,4,"Smooth ride, on time.",2022-10-20 16:56:46
151,195,1056,1495,4,,2022-02-21 21:46:24
152,196,1056,469,2,Took too long.,2022-03-05 17:30:41
153,196,469,1056,3,,2022-03-05 16:33:41
154,197,1056,539,3,,2023-03-02 21:33:31
155,199,1056,271,4,,2022-02-11 03:14:42
156,200,1056,664,3,Decent experience.,2023-07-29 08:57:32
157,202,1056,1558,4,,2023-09-29 22:03:54
158,203,1056,288,3,"OK trip, nothing special.",2024-05-28 16:07:47
159,204,564,1056,3,"Great driver, very professional!",2024-05-26 13:19:35
160,206,308,1937,4,,2023-04-26 13:49:59
161,207,308,759,4,,2022-10-28 20:33:30
162,207,759,308,2,"Great driver, very professional!",2022-10-28 19:58:30
163,210,308,1386,4,,2022-03-26 04:41:29
164,211,308,506,4,"Perfect trip, no issues.",2022-08-14 19:18:42
165,212,1890,308,4,Super friendly and helpful.,2024-06-15 08:58:28
166,213,1623,308,3,"Great driver, very professional!",2023-09-27 09:19:41
167,214,308,1108,3,Nothing to complain about.,2022-10-02 19:33:53
168,214,1108,308,2,Very clean car.,2022-10-02 21:09:53
169,215,308,271,5,"Great rider, very polite.",2023-11-17 22:10:55
170,217,697,310,3,Very clean car.,2024-03-22 16:54:51
171,221,310,1117,4,,2024-05-14 17:43:25
172,225,1162,1697,4,"Smooth ride, on time.",2022-05-10 09:56:07
173,227,1697,1311,3,,2024-01-06 16:58:24
174,228,1697,40,3,Nothing to complain about.,2024-01-02 05:24:24
175,229,1697,338,4,,2023-10-19 00:15:45
176,231,1697,194,4,"5 stars, highly recommend!",2023-07-24 05:07:01
177,233,1697,192,4,"Easy pickup, no problems.",2023-05-13 13:36:48
178,234,1697,957,2,Not very clean.,2023-04-09 11:35:07
179,235,1697,1131,3,Fine driver.,2024-02-21 22:47:17
180,236,1697,393,3,,2023-11-10 12:07:47
181,237,1697,920,3,,2024-03-15 21:44:16
182,239,1697,1243,4,,2024-02-16 23:24:14
183,240,409,433,3,Acceptable ride.,2022-03-04 00:57:11
184,241,1270,1443,3,,2023-06-05 08:29:34
185,241,1443,1270,4,"Great driver, very professional!",2023-06-05 08:56:34
186,242,1270,125,4,"Smooth ride, on time.",2022-08-07 23:19:05
187,243,1270,1544,4,Very comfortable ride.,2023-04-19 23:01:48
188,245,139,1270,4,"Great driver, very professional!",2022-10-09 02:31:45
189,246,1270,485,4,,2024-03-26 04:12:59
190,248,1270,1993,2,Took a longer route.,2023-05-26 02:43:34
191,249,1270,860,4,,2023-01-23 04:28:24
192,249,860,1270,3,"Excellent service, will ride again.",2023-01-23 03:19:24
193,250,1270,293,4,"Easy pickup, no problems.",2023-06-27 22:32:05
194,250,293,1270,3,"Smooth ride, on time.",2023-06-27 22:41:05
