driver_id,user_id,vehicle_make,vehicle_model,vehicle_year,license_plate,rating,join_date,is_active
1,1781,Kia,Soul,2015,ZVJ-2140,4.1,2019-12-22,1
2,408,Hyundai,Tucson,2016,WLW-3906,4.21,2020-12-14,1
3,693,Hyundai,Sonata,2014,WEA-5140,3.81,2023-07-25,1
4,187,Nissan,Rogue,2021,KDE-9978,4.82,2020-01-11,1
5,1499,Ford,Fusion,2019,EKJ-8600,3.3,2023-07-15,0
6,1894,Ford,Explorer,2012,NUT-1132,3.6,2022-01-30,1
7,1948,Subaru,Legacy,2020,LWV-0482,4.31,2022-11-08,1
8,639,Honda,Pilot,2019,TWE-2192,2.66,2021-09-05,0
9,564,Nissan,Maxima,2013,FGT-3745,4.98,2020-11-28,1
10,1955,Ford,Escape,2018,JDT-8776,4.97,2019-06-30,1
11,97,Ford,Fusion,2015,DHP-4368,4.18,2020-08-13,1
12,286,Subaru,Crosstrek,2016,PCG-7938,4.71,2022-02-23,1
13,941,Mazda,CX-9,2022,CWU-2740,3.64,2021-12-23,1
14,1197,Honda,Accord,2020,TDJ-4599,3.77,2022-04-12,1
15,585,Chevrolet,Equinox,2022,FAT-3618,4.7,2021-06-12,1
16,1547,Mazda,Mazda6,2023,YNJ-1166,4.63,2020-04-07,1
17,602,Mazda,MX-5,2018,WGZ-9299,4.2,2020-03-05,1
18,908,Nissan,Altima,2013,GPH-9690,3.72,2020-04-24,1
19,1590,Chevrolet,Silverado,2014,RKE-8092,3.69,2023-07-24,1
20,1196,Tesla,Model Y,2015,LSU-0131,4.21,2023-02-12,1
21,117,Subaru,Impreza,2013,NQD-8778,3.56,2020-11-05,1
22,179,Honda,Pilot,2018,QXS-7721,4.4,2022-10-09,1
23,705,Hyundai,Elantra,2022,MSL-0178,4.86,2023-01-02,1
24,136,Mazda,CX-5,2018,SGJ-0745,4.15,2020-11-26,1
25,1477,Honda,Pilot,2020,QPQ-8601,4.46,2019-12-19,1
26,948,Tesla,Model 3,2013,ZFP-7687,3.6,2021-11-18,0
27,436,Subaru,Crosstrek,2020,AKV-7492,4.45,2021-04-04,1
28,1965,Honda,CR-V,2018,VTW-2839,4.17,2019-09-06,1
29,1248,Hyundai,Santa Fe,2023,ZGV-2753,4.02,2023-12-27,1
30,199,Ford,Explorer,2013,JQT-8281,4.46,2021-03-02,1
31,1828,Tesla,Model X,2022,EKG-7388,4.94,2021-03-23,1
32,40,Toyota,Camry,2015,PXS-5753,3.8,2019-12-03,1
33,327,Tesla,Model X,2016,DJJ-1387,4.7,2022-11-08,1
34,1001,Tesla,Model 3,2017,ZLA-5624,4.97,2020-10-15,1
35,256,Chevrolet,Silverado,2022,VDH-9844,5.0,2020-06-28,1
36,1438,Kia,Soul,2020,PRX-9779,3.9,2021-06-28,1
37,430,Hyundai,Elantra,2017,NBS-3877,3.64,2023-10-24,1
38,498,Mazda,CX-9,2020,HVQ-7765,4.2,2022-08-20,1
39,1700,Toyota,Prius,2021,LQB-9046,4.21,2023-05-17,1
40,1170,Ford,Fusion,2022,JYG-2805,4.65,2020-02-29,1
41,55,Kia,Soul,2022,LNS-3589,4.31,2023-03-27,1
42,630,Tesla,Model S,2012,ZBU-5700,3.74,2020-07-03,1
43,1352,Chevrolet,Impala,2014,WAY-7304,4.53,2023-12-05,1
44,284,Kia,Sportage,2023,MWE-3142,2.94,2020-07-15,0
45,1519,Chevrolet,Traverse,2022,RJU-5069,3.13,2020-05-11,0
46,834,Toyota,Highlander,2012,AKA-9589,4.43,2020-06-07,1
47,1041,Mazda,Mazda6,2017,CSD-3148,4.26,2023-12-24,1
48,1763,Subaru,Outback,2021,ANY-9832,3.77,2022-04-27,1
49,608,Ford,Fusion,2019,EDQ-3468,4.92,2023-03-01,1
50,1471,Mazda,Mazda3,2017,FDZ-4700,4.22,2023-02-10,1
51,822,Tesla,Model 3,2020,CRX-5757,3.92,2020-03-04,1
52,742,Subaru,Forester,2016,YLL-0015,3.96,2023-10-28,1
53,789,Nissan,Altima,2020,VEC-8751,3.57,2019-07-28,1
54,867,Toyota,RAV4,2018,EZB-8875,4.06,2023-05-02,1
55,1575,Toyota,Corolla,2013,LEF-3745,3.57,2021-07-21,1
56,919,Chevrolet,Malibu,2016,AFV-8998,4.76,2019-08-31,1
57,1181,Ford,F-150,2021,FSX-4586,4.82,2023-07-18,1
58,1150,Nissan,Pathfinder,2023,AVK-8172,3.68,2019-08-25,0
59,1430,Subaru,Forester,2022,SBC-1705,4.61,2023-03-26,1
60,314,Kia,Sorento,2020,GWG-7382,3.94,2020-07-16,0
61,66,Ford,Mustang,2012,MCF-8178,4.42,2021-11-14,1
62,1972,Ford,Explorer,2021,URN-9770,2.76,2020-10-26,0
63,351,Ford,Escape,2019,ERK-1201,4.49,2021-11-15,1
64,1672,Toyota,Prius,2013,WQG-1531,3.38,2019-07-06,0
65,1437,Tesla,Model Y,2023,YJD-1235,4.65,2020-02-01,1
66,201,Chevrolet,Malibu,2021,PAV-4536,4.87,2020-09-29,1
67,959,Subaru,Crosstrek,2016,JZL-9153,4.46,2020-05-23,1
68,1825,Kia,Sorento,2014,JAV-1475,4.1,2022-12-05,1
69,986,Hyundai,Elantra,2018,LLT-4333,4.58,2020-07-26,1
70,782,Chevrolet,Equinox,2023,EEW-6695,4.11,2023-01-09,1
71,1517,Nissan,Sentra,2018,DCR-3876,2.87,2022-07-04,0
72,1492,Ford,Explorer,2020,LYA-2519,4.65,2023-01-04,1
73,759,Kia,Stinger,2015,DHF-7746,4.3,2022-12-08,1
74,1084,Toyota,Camry,2013,CAW-0839,3.73,2020-08-10,1
75,1324,Nissan,Altima,2017,QHX-4313,3.74,2020-04-07,1
76,1301,Ford,Explorer,2013,NQD-5496,4.96,2023-02-19,1
77,434,Ford,Explorer,2013,UDK-3106,4.9,2022-09-10,1
78,218,Tesla,Model Y,2019,XZY-5898,2.73,2021-02-04,0
79,1687,Kia,Soul,2013,ZUS-9379,3.52,2023-11-24,0
80,1814,Subaru,Outback,2021,XLE-8125,4.23,2020-05-07,1
